K,eps_idx,eps,alpha_idx,alpha,mro_sol,solvetime,dro_feas_sol
2.0,8.0,0.1,0.0,0.01,5.36048976558926,1.5018987190000002,5.36048976558926
2.0,8.0,0.1,1.0,0.05,2.347132517773253,1.5769830379999998,2.347132517773253
3.0,0.0,0.001,0.0,0.01,1.0636226044900303,3.186163585,1.0636226044900303
3.0,0.0,0.001,1.0,0.05,0.8103647664980242,2.338198573,0.8103647664980242
3.0,1.0,0.0017782794100389228,0.0,0.01,1.1267503700604091,2.745189351,1.1267503700604091
3.0,1.0,0.0017782794100389228,1.0,0.05,0.8258110240161037,2.418981042,0.8258110240161037
3.0,2.0,0.0031622776601683794,0.0,0.01,1.2231163432634298,2.535284839,1.2231163432634298
3.0,2.0,0.0031622776601683794,1.0,0.05,0.8518828970069637,2.324679836,0.8518828970069637
3.0,3.0,0.005623413251903491,0.0,0.01,1.3758447121348427,2.6913120729999997,1.3758447121348427
3.0,3.0,0.005623413251903491,1.0,0.05,0.8940660031066061,2.316045051,0.8940660031066061
3.0,4.0,0.01,0.0,0.01,1.6309297190591074,2.6061348349999998,1.6309297190591074
3.0,4.0,0.01,1.0,0.05,0.958859053107328,2.497319551,0.958859053107328
3.0,5.0,0.01778279410038923,0.0,0.01,2.070490192145201,2.385510441,2.070490192145201
3.0,5.0,0.01778279410038923,1.0,0.05,1.061034180417405,2.296766063,1.061034180417405
3.0,6.0,0.03162277660168379,0.0,0.01,2.688017181030985,2.728126337,2.688017181030985
3.0,6.0,0.03162277660168379,1.0,0.05,1.2281790259725769,2.5454283049999997,1.2281790259725769
3.0,7.0,0.056234132519034905,0.0,0.01,3.347337965922565,2.699034418,3.347337965922565
3.0,7.0,0.056234132519034905,1.0,0.05,1.51422041688673,2.729294071,1.51422041688673
3.0,8.0,0.1,0.0,0.01,4.003065453450403,3.585253614,4.003065453450403
3.0,8.0,0.1,1.0,0.05,1.977092254059393,3.055932612,1.977092254059393
4.0,0.0,0.001,0.0,0.01,0.8362123530152304,4.494038615,0.8362123530152304
4.0,0.0,0.001,1.0,0.05,0.6250360226927152,4.064953402,0.6250360226927152
4.0,1.0,0.0017782794100389228,0.0,0.01,0.9052328778301592,4.65131618,0.9052328778301592
4.0,1.0,0.0017782794100389228,1.0,0.05,0.6402953296026241,3.5963063809999998,0.6402953296026241
4.0,2.0,0.0031622776601683794,0.0,0.01,0.9944973381864118,4.793524731,0.9944973381864118
4.0,2.0,0.0031622776601683794,1.0,0.05,0.6662716462010226,3.762017469,0.6662716462010226
4.0,3.0,0.005623413251903491,0.0,0.01,1.1364566559710427,4.934012971,1.1364566559710427
4.0,3.0,0.005623413251903491,1.0,0.05,0.7086517344658753,4.016430387,0.7086517344658753
4.0,4.0,0.01,0.0,0.01,1.3670150120225597,4.319412435,1.3670150120225597
4.0,4.0,0.01,1.0,0.05,0.7740659353092441,3.716917471,0.7740659353092441
4.0,5.0,0.01778279410038923,0.0,0.01,1.7555142611813912,4.907153321,1.7555142611813912
4.0,5.0,0.01778279410038923,1.0,0.05,0.871600045670514,4.369171079,0.871600045670514
4.0,6.0,0.03162277660168379,0.0,0.01,2.2289893785281114,4.9776396389999995,2.2289893785281114
4.0,6.0,0.03162277660168379,1.0,0.05,1.0247594632592623,4.292369882,1.0247594632592623
4.0,7.0,0.056234132519034905,0.0,0.01,2.6559099934570893,7.162418953,2.6559099934570893
4.0,7.0,0.056234132519034905,1.0,0.05,1.2809206681184218,4.246486806,1.2809206681184218
4.0,8.0,0.1,0.0,0.01,2.8911368252461926,5.121187209,2.8911368252461926
4.0,8.0,0.1,1.0,0.05,1.6631993390649966,4.746289115,1.6631993390649966
5.0,0.0,0.001,0.0,0.01,0.6306581000669972,7.330210808,0.6306581000669972
