iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
31,1.3743856171667954,0.000765409464620308,0.04086708399700001,12.335818841940231,6.4000000000000006e-06,1.249743822447411,1.2497436748104396,1.2497434723388143,1.2502565825320104,1.2497461406726136,1.2497435325862905,1.2502555041358883,1.2502577891177757,1.2497435151977527,1.2502563396630175,1.2502562991113526,1.2497435588019936,1.2502565600357773,1.250255954777734,1.2502566004906037,-0.00011173591836952492,0.2816389044551767,0.4339280751300248,0.5311785431182705,0.598893594506354,0.6488086443909534,0.6875311650585383,0.718385222388348,0.7435763423978796,0.7645500164475846,0.7822945577839476,0.7975097045850676,0.8107054073801765,0.8224913660964687,0.8325843815233089
32,1.3743910512438569,0.0007654175438440707,0.04039437498431653,12.33461855609264,6.5800000000000005e-06,1.2497291656642822,1.2497289931441211,1.2497287499402285,1.2502713154904714,1.2497319686288706,1.2497288224362217,1.2502700564674696,1.2502728190655397,1.249728798898264,1.2502710182844983,1.2502709719339822,1.2497288469931762,1.2502712871174082,1.2502705541534676,1.2502713398165164,-0.00011816117359170291,0.2816323418525741,0.43392149438275696,0.531185130073492,0.5989002356158505,0.648802069200076,0.6875245888485544,0.7183786595440961,0.7435697616379675,0.7645434353164953,0.782287980583172,0.7975031284864548,0.8106988480821298,0.8224979509688557,0.8325843815233089
33,1.374397352318098,0.0007654258325980741,0.040702082973439246,12.332155962283686,6.760000000000001e-06,1.249714104029264,1.2497139137572102,1.2497136240009472,1.2502864538200225,1.2497174762598648,1.2497137104830378,1.2502850033443047,1.2502883160815554,1.2497136795764554,1.250286091729775,1.250286041755566,1.249713731120208,1.2502864193572056,1.2502855338498473,1.250286487115261,-0.00012476646456557815,0.2816256020225617,0.43391473375356554,0.5311918979584753,0.5989070649891729,0.6487953148732509,0.6875178336483736,0.7183719202820125,0.7435630007603606,0.7645366737391679,0.7822812239707194,0.7974963728908305,0.8106921142400901,0.8225047175589317,0.8325843815233089
34,1.3744048111529599,0.0007654343219787099,0.040515041968319565,12.334455672002795,6.940000000000001e-06,1.249698667456374,1.2496984411961924,1.249698092843011,1.2503019998795752,1.2497027236763565,1.2496981974866137,1.2503003095785599,1.2503043163784904,1.249698156669794,1.2503015569834222,1.250301499608485,1.249698209924478,1.2503019563291697,1.2503008851130388,1.2503020429042693,-0.00013153325353014033,0.28161868755806285,0.4339077928443569,0.5311988477619832,0.5989140902389077,0.648788382176743,0.6875108997363836,0.7183650064679695,0.743556059742916,0.7645297315346959,0.782274287825107,0.7974894375746405,0.8106852029599,0.8225116648048444,0.8325843815233089
35,1.3744138829739192,0.00076544301206612,0.04041183297522366,12.33487085128034,7.120000000000001e-06,1.249682844965084,1.2496825768851831,1.2496821568816616,1.2503179532695652,1.24968771402842,1.2496822838579413,1.2503159826888552,1.2503208351650177,1.2496822301684674,1.2503174125479812,1.2503173435728026,1.249682281233007,1.250317898464286,1.2503166021822276,1.2503180085326664,-0.00013846836032598058,0.28161159938417035,0.43390067207870087,0.5312059792554932,0.5989213098458026,0.6487812712231162,0.6875037874412907,0.7183579189769798,0.7435489385738396,0.7645226086260557,0.7822671722614704,0.7974823222635693,0.8106781129742491,0.822518792534938,0.8325843815233089
36,1.3744254790221833,0.0007654516664613622,0.040550416975747794,12.945431376017437,7.3e-06,1.2496665903106539,1.2496663835642738,1.2496659314161966,1.2503341433970765,1.2496712223612423,1.2496660680817988,1.250327527440693,1.250339174801012,1.2496658618827499,1.2503338085864004,1.2503340048422498,1.2496660718642116,1.250333993007376,1.2503332264260543,1.2503346423695445,-0.0001456472512600177,0.2816043879872029,0.43389342473351566,0.5312132286636163,0.5989284901514413,0.6487740077211398,0.6874964508033193,0.7183507389370601,0.743541636372452,0.7645153360474247,0.7822599585526885,0.7974751518224217,0.8106727195292283,0.822526496677263,0.8325843815233089
37,1.3744418426805831,0.000765460320162769,0.04051595804048702,12.94239519110241,7.48e-06,1.2496498689147146,1.2496498563540257,1.2496494085537349,1.2503505800700736,1.2496533690384108,1.2496495425693348,1.2503353803271409,1.2503591039277246,1.2496490554003574,1.2503507328101342,1.250351438236258,1.2496495669146626,1.2503502579016097,1.250350694446211,1.2503519199812798,-0.0001530850657846399,0.2815970503121856,0.4338860479364848,0.531220599965994,0.5989356380457757,0.6487665893387674,0.6874888936499476,0.718343459992032,0.743534153205717,0.7645079116434446,0.7822526405241668,0.7974679165947913,0.8106688679625488,0.8225347240378595,0.8325843815233089
38,1.3744680903006452,0.0007654689949093437,0.04069549997802824,12.950020957495568,7.660000000000001e-06,1.2496327216303438,1.249632999253371,1.2496325756207152,1.2503672815173736,1.2496343393632854,1.2496327033182437,1.2503397680717607,1.2503804593441716,1.2496318127373818,1.2503681654872256,1.2503696014792691,1.2496327487076608,1.250366707156642,1.2503689399172035,1.2503698214991066,-0.00016075706829076668,0.2815895874577972,0.43387853562869705,0.5312280996800476,0.5989427813183575,0.6487590162926091,0.6874811205380487,0.7183360826652071,0.7435264891084652,0.7645003326677825,0.7822452138093768,0.7974606079928742,0.8106664153462931,0.8225434319375465,0.8325843815233089
39,1.3745196812218958,0.0007654778453741582,0.040427958010695875,12.717950681431725,7.840000000000001e-06,1.2496153146204418,1.249615960320059,1.2496154494987894,1.2503842171433663,1.249613741425284,1.2496155673291391,1.2503397593767973,1.2504031924311145,1.2496141181023301,1.2503858683597213,1.250388329690428,1.2496157414885127,1.2503832226264389,1.2503877329301045,1.2503883826365938,-0.00016853647656225006,0.2815821180317061,0.43387097094647237,0.5312357400858481,0.5989498000617707,0.6487512928516245,0.6874731104098899,0.7183286469211819,0.7435186311926625,0.7644925525505658,0.7822376864418059,0.7974532510575949,0.8106653269542565,0.8225525552957372,0.8325843815233089
40,1.374384137736589,0.0007654870194137878,0.04021712503163144,12.335757024945043,8.020000000000001e-06,1.2495975777954675,1.249598476004098,1.2495978764131437,1.250401633805049,1.2495934195395066,1.2495979894269953,1.2503413333227957,1.2504254823543848,1.2495960385602392,1.2504039335997863,1.250407281127784,1.2495982630988842,1.2504002509994865,1.2504067416617068,1.2504072241110014,-0.00017642690825240689,0.28157443479657324,0.43386319927187544,0.5312435874633695,0.5989571267081464,0.6487433807145486,0.6874649428445659,0.7183209960268572,0.7435105951694427,0.7644845820341091,0.7822299414337227,0.7974456573302227,0.810663516994407,0.8225616836351901,0.8325843815233089
41,1.3742971465832914,0.0007654961803566438,0.04030520800733939,12.25413807199253,8.200000000000001e-06,1.2495801167299376,1.2495805011191308,1.249579855821612,1.2504196566239678,1.2495748746921111,1.2495799193351917,1.2503443890999293,1.250449066600204,1.2495775731607326,1.2504218971787378,1.2504260325217729,1.249580518430263,1.2504179647459222,1.2504260080684004,1.2504263760995074,-0.00018399742920368746,0.2815665246728394,0.433855238103861,0.5312516874178738,0.598965046081535,0.6487352748500249,0.6874566094701396,0.7183132454222562,0.7435023794578153,0.7644763642644082,0.782221963548913,0.7974378331631806,0.8106608015231662,0.8225708153654301,0.8325843815233089
