iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
56,3.5034960448930033,0.010020403691669798,0.014709166018292308,28.03961722469106,9.997258721585931e-06,1.2492610169923206,1.2492610150795247,1.2492610335309657,1.249261318073982,1.2492619400473868,1.25073827124685,1.2492609110739952,1.2492612828528815,1.2507380305882199,1.249260842362211,1.250739378203963,1.2492597359778053
57,3.5035324948418785,0.010020560223931987,0.014642415975686163,28.04242441836787,9.996052735444863e-06,1.249238665898264,1.2492386634913726,1.2492386833435647,1.2492389885973687,1.2492396571744122,1.2507605675737627,1.249238551555978,1.2492389509714075,1.2507603091750834,1.24923847802905,1.25076175756265,1.2492372900932076
58,3.5035689414429108,0.010020716742116768,0.014847417012788355,28.045238729583417,9.994627618036455e-06,1.2492163179802267,1.2492163150205993,1.2492163363354416,1.2492166631273436,1.2492173803248854,1.2507828583549938,1.2492161947869174,1.2492166230217243,1.2507825814655251,1.2492161162830553,1.2507841349877895,1.2492148434191839
59,3.5036053839048056,0.010020873242884839,0.014599124959204346,28.048050696792778,9.992983438818916e-06,1.249193973728134,1.2491939701543175,1.2491939929948035,1.249194342163592,1.2491951100219583,1.2508051430558778,1.2491938412484016,1.2491942994950544,1.2508048469330046,1.2491937576061674,1.2508065100028465,1.2491923964084843
60,3.5036418214384133,0.010021029722836684,0.014930000004824251,28.050885229204123,9.991120277927224e-06,1.2491716336329695,1.2491716293784196,1.249171653808548,1.2491720261893224,1.2491728467746193,1.2508274211813208,1.2491714914247323,1.249171980885389,1.2508271050681614,1.2491714024781044,1.2508288821518487,1.2491699495199662
61,3.503678253249024,0.0100211861785584,0.014788249973207712,28.053734629233468,9.98903822616921e-06,1.2491492981836747,1.2491492931809067,1.249149319265405,1.2491497156991593,1.2491505910970988,1.2508496922273071,1.2491491457961892,1.2491496676850664,1.2508493553768196,1.2491490513828098,1.250851250962035,1.2491475032183135
62,3.503714678536783,0.010021342606629156,0.014852583000902086,28.056579037164155,9.986737385021142e-06,1.2491269678728047,1.2491269620497074,1.249126989854275,1.2491274111870072,1.2491283435021778,1.2508719556785333,1.2491268048535877,1.2491273603846988,1.250871597334022,1.2491267048056727,1.250873615998154,1.249125057966854
63,3.5037510965038425,0.010021499003673873,0.014689208008348942,28.059429004078098,9.984217866622771e-06,1.2491046431889334,1.2491046364714402,1.2491046660619989,1.2491051131360513,1.2491061044920684,1.25089421103691,1.2491044690807234,1.2491050594756765,1.2508938304333577,1.2491043632319518,1.250895976775747,1.2491026142367856
64,3.503787506359291,0.010021655366235137,0.014507291023619473,28.0622944710452,9.981479793771866e-06,1.2490823246223277,1.249082316934662,1.2490823483782605,1.249082822037627,1.2490838745725101,1.2509164577933503,1.2490821389547009,1.2490827654488845,1.2509160541806772,1.2490820271479448,1.2509183328710487,1.2490801724991434
65,3.503823907303692,0.010021811690924068,0.015065415995195508,28.065183934226464,9.97852329991824e-06,1.2490600126665876,1.2490600039258253,1.2490600372893939,1.2490605383865732,1.2490616542481179,1.2509386954489368,1.2490598149617147,1.2490604787921027,1.2509382680752712,1.249059697039192,1.250940683782715,1.249057733230513
