iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14
30,0.4122127115157081,0.00032200834299572745,0.11139577394351363,7.611325136153167,5.842e-05,1.8892839985960121,1.8849003046975659,1.884900085709512,1.8898005064859245,1.8849052008911855,1.8849031799468619,1.8897879830710116,1.889793652076145,1.8849027123846593,1.889788120936618,1.8898030686563745,1.884921994602892,1.8898001035003593,1.8898049991442971,1.8898138917013214,-0.00044242074081182964,0.28086231739171286,0.4331516219523315,0.5319572401688383,0.5978900334871758,0.6480334052196016,0.6867556416188251,0.7176093375735617,0.7428005343350285,0.7637734074166149,0.7815188850603761,0.7967344402106482,0.811713296249991,0.8232707096302361,0.8325843815233089
31,0.41220032062891776,0.00032213467537615004,0.11198043404147029,7.596281388072646,6.04e-05,1.8894141294016498,1.8847344767793006,1.8847342567671523,1.889967031042767,1.8847400803389271,1.8847378797827203,1.889952171050358,1.8899589509620274,1.8847373205413895,1.8899524059982198,1.8899699735478224,1.8847598520504507,1.8899665376058141,1.8899722245345332,1.8899809192265977,-0.00048549404173795597,0.28080192424123324,0.4330912557910906,0.5320180048902989,0.5978300736920055,0.6479732462944593,0.6866954289589039,0.717549076424032,0.7427402747104601,0.7637130035980217,0.7814586483178465,0.7966742705308442,0.8117740472281589,0.8233315702132178,0.8325843815233089
32,0.4121876543259071,0.000322265272960601,0.11258873902261257,7.605413985994253,6.238000000000001e-05,1.8895481962906284,1.8845632030138781,1.8845629758981648,1.89013912452736,1.8845696496776818,1.8845671962658157,1.8901216565233294,1.8901295862531757,1.884566544597065,1.8901219372848768,1.8901424880833224,1.884592746603662,1.8901384649506663,1.8901450551201928,1.8901534199516141,-0.0005306879243748278,0.280739550605053,0.4330289085050276,0.5320808285420078,0.5977682047370605,0.6479111348365836,0.6866332610280722,0.7174868478899381,0.7426780492686795,0.76365061678213,0.7813964506970658,0.7966121508725865,0.811836817890296,0.8233944720767953,0.8325843815233089
33,0.41217466816248766,0.00032240018115715197,0.11062290496192873,7.598433302500936,6.436e-05,1.8896861595915608,1.8843864940826318,1.8843862343138504,1.8903166497332773,1.884393932076419,1.8843911519044922,1.8902963691717631,1.8903055699159448,1.8843903979563494,1.8902966712229596,1.8903205528128453,1.8844205623138712,1.890315914937293,1.890323496177557,1.890331393392379,-0.0005780176844040843,0.28067519763664034,0.4329645701530668,0.5321456557576353,0.5977044228559124,0.6478470754333461,0.6865691387834086,0.7174226577347068,0.7426138617739593,0.7635862467296475,0.7813322907124489,0.7965480744612433,0.8119016072936923,0.8234594149919466,0.8325843815233089
34,0.4121613806287242,0.00032253936474765823,0.11609357316046953,7.595098362721833,6.634e-05,1.8898275932868873,1.8842043546158278,1.8842040523658172,1.8904996848000188,1.884212953714208,1.8842097506719244,1.8904763243763456,1.890486879935721,1.8842088790137843,1.8904766230188217,1.890504278026635,1.8842435657866625,1.890498860311719,1.8905075829765203,1.8905148567351924,-0.0006277271262998497,0.28060887211580976,0.43289825593819997,0.5322125337725992,0.5976387450367693,0.6477810728579383,0.6865030687322516,0.7173565080586595,0.742547711733132,0.7635198947807097,0.7812661779543323,0.7964820584724238,0.8119684281974828,0.8235264135550989,0.8325843815233089
35,0.41214781993511224,0.00032268283990357174,0.11159197799861431,7.587869856902156,6.832000000000001e-05,1.8899725713290678,1.884016775504259,1.8840164349913584,1.8906882478649947,1.8840267185870352,1.8840229950090295,1.8906614500347572,1.8906735194626934,1.8840220026500811,1.8906617351130588,1.890693600170421,1.8840619597480572,1.890687303419401,1.8906973311029809,1.8907037985701798,-0.0006797603056116381,0.2805405624357361,0.4328299625347531,0.5322814532457553,0.5975711731297618,0.6477131287354844,0.6864350504799686,0.7172884040085736,0.7424796038574161,0.7634515609503196,0.7811981110624674,0.7964141052219175,0.81203728213982,0.8235954721241792,0.8325843815233089
36,0.4121339828312808,0.00032283060765871975,0.11774109397083521,7.578983416938213,7.03e-05,1.8901210215899533,1.883823762231265,1.8838233863175478,1.8908823397264962,1.8838352564565284,1.8838309014683126,1.8908517118149448,1.890865490722633,1.883829785862321,1.890851956233229,1.8908885038820022,1.8838760058288537,1.8908812453841546,1.890892759659307,1.890898212285885,-0.0007341210321255488,0.2804702681377389,0.43275968884851773,0.5323524043989407,0.5975017125401555,0.6476432477469675,0.6863650870294987,0.717218350469294,0.7424095430344909,0.7633812454441877,0.7811280906676893,0.7963442207425382,0.8121081749793676,0.8236665968073705,0.8325843815233089
37,0.4121198754262332,0.000322982695066911,0.13254290190525353,7.578466177052793,7.228e-05,1.8902724954768595,1.8836253117391333,1.8836248933802633,1.8910819968254236,1.8836385331415382,1.8836334701891864,1.8910470938274886,1.8910627708653185,1.8836322248901087,1.8910472853681044,1.8910890593977567,1.883685407308182,1.891080705306771,1.8910938780740325,1.891098109395013,-0.0007910276117611629,0.2803979920185247,0.43268743336807663,0.5324254135338599,0.5974303647890657,0.6475714305371253,0.6862931784516755,0.7171463422376466,0.7423375274260262,0.76330894665067,0.7810561211541011,0.796272403625266,0.8121811154036567,0.8237397936965076,0.8325843815233089
38,0.4121055329090392,0.0003231391325958077,0.11100279912352562,7.545247088137195,7.426e-05,1.890426335031944,1.8834214615194678,1.883421036516565,1.891287160555848,1.8834364593020323,1.8834307877926335,1.891247182851272,1.891265394525651,1.8834293979408159,1.8912475548606245,1.8912949340613554,1.883490944080017,1.8912856765651964,1.8913007089467506,1.8913034473693582,-0.0008509589509532898,0.2803237219498858,0.43261320843328027,0.5325003758427608,0.5973570849512894,0.6474976926583105,0.6862193273282504,0.7170724064267594,0.7422635810382159,0.763234677855044,0.7809822039836247,0.796198666275373,0.8122561194886468,0.8238150650121651,0.8325843815233089
39,0.4120910348495835,0.00032329990325929823,0.1118725708220154,7.55580343435421,7.624e-05,1.8905828369767381,1.883212205339747,1.8832117651901958,1.8914978573342613,1.8832291311821359,1.8832228024651148,1.891452202904725,1.8914733275345348,1.8832212668655943,1.891452829364976,1.8915063346981595,1.8832924407580796,1.8914961846713483,1.8915132538190143,1.8915142539871006,-0.0009135935681536256,0.2802474746130368,0.4325370085590846,0.5325773728055248,0.5972819205118833,0.6474220285014641,0.6861435350930255,0.716996528231337,0.7421876920497062,0.7631584302918494,0.7809063388594811,0.7961230084943213,0.8123331936257303,0.8238924154333421,0.8325843815233089
