iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
34,0.024655812426698766,0.007635839843973,6.015639299061149,0.022255148232110403,0.00066034,1.2678358820139999,1.267834872912786,1.2678288877048496,1.2678228357209007,1.2678178888264588,1.2678129819865027,1.2678095088808499,1.267806307349806,1.2678635309971338,1.2678201800909825,1.267066728420591,1.267748999346089,1.2678693180069802,1.26785096618631
35,0.02450578340958729,0.007619780684140691,6.226473121903837,0.0218044716292926,0.0006803200000000001,1.2693625503736168,1.269356201734469,1.2693472092435634,1.269339277922981,1.2693330594965087,1.2693272247342122,1.269323143019162,1.2693195254875216,1.2693791034685462,1.2693262430135759,1.2685186120521956,1.2692612928292621,1.2693986359236096,1.2693726777178065
36,0.02334623079803258,0.0076033149143498345,6.4752823007293046,0.021685949635507917,0.0007003,1.2709330038813487,1.2709207977429495,1.2709081710904484,1.270897925204367,1.2708901189215682,1.2708830689040376,1.2708780960908561,1.2708738142641092,1.2709351067248489,1.2708714159580206,1.2700211414105815,1.270820095199191,1.2709725838841914,1.2709379866858235
37,0.02202445171500849,0.0075864618575454444,5.517003171145916,0.021170177191440452,0.00072028,1.2725445144393506,1.2725261439705429,1.2725090712399478,1.2724956732356398,1.2724854913633583,1.2724765834491314,1.2724700481254398,1.272464412574782,1.2725359044546471,1.2724654305767038,1.2715786513749108,1.272419686875735,1.2725868237410867,1.2725463261569723
38,0.022622579454558082,0.0075693752664776,5.972915276885033,0.021057233010834675,0.00074026,1.2741991796244228,1.2741743783285118,1.2741525278029844,1.2741356059594346,1.2741225542627932,1.2741112517889226,1.2741027585720939,1.274095338020789,1.274172230632909,1.2740870082553228,1.2730961414766455,1.274021913054396,1.2742016765206456,1.2741700091419188
39,0.022667978040339244,0.007551871211204602,5.808008208870888,0.0214510242343309,0.00076024,1.2758975440530156,1.2758647204849718,1.2758380858550111,1.2758176328606605,1.2758016960397718,1.275787899040903,1.2757772938598428,1.2757679362018568,1.275848496880991,1.2757552807271804,1.2746839464412736,1.275674810466969,1.2758581573126706,1.2758398882364768
40,0.0203708826830504,0.00753406202523421,6.545816047117114,0.020268658821788074,0.0007802200000000001,1.2776339396919643,1.277590931294053,1.2775574855391478,1.2775316830699335,1.2775113241679295,1.277493616114917,1.2774795354240454,1.2774670143791556,1.277551936212326,1.27745459358029,1.2763251300055243,1.2773716621533646,1.27755042888137,1.2775522385413973
41,0.023627457781172048,0.007515816951064125,6.267738426104188,0.021701007874418917,0.0008002,1.2794167638415852,1.2793623806500107,1.2793215482925964,1.2792901762227888,1.2792653040204733,1.279243767469677,1.279226334446491,1.2792107138685804,1.2792955719296588,1.2791961998793038,1.2780377549397484,1.2791234082787755,1.2792924500311185,1.2793162043297865
42,0.022928721662016534,0.00749717552200717,6.151526189874858,0.02105517914747408,0.00082018,1.2812410143547879,1.281175661435334,1.2811279934209951,1.2810913339278514,1.2810621869793815,1.2810369628891147,1.281016267656538,1.2809976524186635,1.2810849296362965,1.2809877919494423,1.2797964265249353,1.280923379226503,1.281085570799966,1.2811204340661686
43,0.022999428194675573,0.007478167861480393,6.404657747130841,0.021059871408220167,0.00084016,1.2831088041599321,1.2830310790067307,1.2829754984626043,1.28293293462087,1.2828991713093005,1.2828700883207476,1.2828460372035995,1.2828244350198896,1.2829130306716507,1.2828125154482404,1.2816091825982945,1.2827731477056301,1.2829170727241035,1.2829701213929752
44,0.02286830434397717,0.007458722465702922,6.339821720961481,0.021351824460410698,0.00086014,1.2850215591771308,1.284929643792553,1.2848659390808264,1.28481719273226,1.2847786879346799,1.284745610608368,1.2847179325507097,1.284693182907729,1.2847884612389888,1.2846988397568337,1.2834895633063197,1.2846848057693887,1.2848015113683389,1.2848777794170905
45,0.027136191326542155,0.007438616867105486,6.9434442380443215,0.023667640460702896,0.00088012,1.2869919527205906,1.2868890890559785,1.2868191948991865,1.2867657150356648,1.2867236916997136,1.2866876274875492,1.286657254038403,1.2866365569720335,1.2867426854653992,1.2866671479779073,1.2854639734751907,1.2866785172130608,1.2867649496060747,1.2868550399963907
46,0.02562985265621355,0.007418008702726942,6.513474330306053,0.022306314368293906,0.0009001,1.2890115769045896,1.2888969646037294,1.2888213035144886,1.2887637619184062,1.2887189117918445,1.2886805039902884,1.288648057199544,1.2886313776067433,1.2887467430923207,1.2887004141111413,1.2875295380070868,1.2887357665519594,1.2887943507704582,1.2888958257163885
47,0.022523854212698403,0.007397071438614193,6.778139334637672,0.020902135542905036,0.0009200800000000001,1.2910717200860677,1.2909447873527795,1.290862515685025,1.2907999481299308,1.2907515266914178,1.2907101423621055,1.2906749159334894,1.2906611389890332,1.2907872079876392,1.2907839941541668,1.2896180419050023,1.2908474677153625,1.290874915964986,1.2909848931099572
48,0.023901161282667508,0.007375681588596159,6.606625945772976,0.021985311657199035,0.0009400599999999999,1.2931811530020312,1.2930388254558507,1.2929493799360539,1.292881795213472,1.2928300191296584,1.2927858825004082,1.29274803596187,1.2927367894830153,1.2928843673554837,1.2929292284048146,1.29179038456591,1.2930218765146115,1.2930152060143483,1.2931237153201862
49,0.025018599057286844,0.007353763330471555,6.731993512250483,0.02247899808704541,0.00096004,1.2953403730013118,1.2951845230009589,1.2950891564126004,1.2950174271174324,1.2949631720442685,1.2949168927124466,1.2948769171906225,1.2948681432879974,1.2950451612765501,1.2951457246341365,1.2940566066743087,1.2952666618348638,1.295221266456542,1.2953287457600793
50,0.022960872090212872,0.0073314882750157824,6.500357246026397,0.021430930604483076,0.00098002,1.2975453975956517,1.2973727293730029,1.297269230534761,1.2971917565903919,1.2971339217221707,1.297084656052373,1.2970418698096562,1.2970419795066368,1.2972643629630058,1.2974175108602486,1.2963702859166362,1.2975586856721433,1.2974821713740758,1.2975791047753122
51,0.023050511895269313,0.00730908789523232,6.13300801999867,0.021113562660128968,0.001,1.2997974062653608,1.2996047496223935,1.299492167653409,1.299408712370163,1.2993469929986634,1.2992945105213711,1.299248984312453,1.2992567760639486,1.2995145702847246,1.2997027781838353,1.2986078353659183,1.2998340464689508,1.2997330889547059,1.2998456881105134
