iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
30,0.8318953663015858,0.009294548979032737,0.10903500905260444,6.892356550026415,6.22e-06,1.8870488428895444,1.8870537868824373,1.8871196818962968,1.887053060278794,1.8870554946449245,1.8870493794847842,1.8876227831948367,1.8870873100175094,1.8870667362930407,1.8871183776680966,1.8876390510273793,1.8870504573746139,1.8870491857298508,1.8870482916487419,1.887048260159125
31,0.8319004409670088,0.00929466442327441,0.10803736699745059,6.892032993507647,6.4000000000000006e-06,1.8870311574780385,1.8870363435075443,1.887105419575183,1.8870355844305524,1.8870381234742841,1.8870317266720253,1.8876403169316056,1.887071368069359,1.8870498502629616,1.8871021386396292,1.88765633031736,1.8870326646533238,1.8870315200341168,1.8870305610140687,1.887030525621111
32,0.8319056675485278,0.009294783204827755,0.1200585721526295,6.8917031071015495,6.5800000000000005e-06,1.8870129770790605,1.8870184070712774,1.8870906935815308,1.8870176152794718,1.887020259282209,1.8870135792703469,1.8876583574211785,1.8870549422139893,1.8870324737292636,1.8870853846080753,1.887674102113393,1.8870143735039624,1.887013359319772,1.8870123346723848,1.8870122953805104
33,0.8319110461299496,0.009294905324525086,0.1063841909635812,6.891357549200211,6.760000000000001e-06,1.8869943018216482,1.8869999775404533,1.8870755021876466,1.8869991528231467,1.8870019019753193,1.8869949373788273,1.8876769039616286,1.8870380317325195,1.8870146063866606,1.8870681169418921,1.8876923665518115,1.8869955843086768,1.8869947036711023,1.886993612794046,1.8869935696137556
34,0.831916576787092,0.00929503078318237,0.10493453685194254,6.890998975715694,6.940000000000001e-06,1.8869751318192864,1.8869810548913493,1.8870598437781994,1.8869801970600213,1.8869830514634316,1.8869758010962128,1.8876959558811695,1.8870206359428896,1.8869962479521176,1.887050336918073,1.8877111237567563,1.8869762974182955,1.8869755531619425,1.8869743955326854,1.8869743484889931
35,0.8319222595923816,0.00929515958153037,0.10404170886613429,6.890636590291017,7.120000000000001e-06,1.8869554671886413,1.8869616391106376,1.8870437168263297,1.8869607479877664,1.8869637076683814,1.8869561705197497,1.8877155125708334,1.8870027542158976,1.8869773981697304,1.887032045737999,1.8877303738383036,1.8869565131639803,1.8869559078710478,1.8869546830408144,1.886954632167132
36,0.8319280946121288,0.009295291720243137,0.10327100497670472,6.890256272183644,7.3e-06,1.8869353080496718,1.8869417301942835,1.8870271198858326,1.8869408056000738,1.8869438705152484,1.8869360457454014,1.8877355735027999,1.8869843859648237,1.8869580568022164,1.8870132445029317,1.8877501168906048,1.8869362318686889,1.8869357678782692,1.8869344754599302,1.8869344208040002
37,0.8319340819077589,0.009295427199954135,0.110597079154104,6.889873110525309,7.48e-06,1.88691465450869,1.8869213281404758,1.8870100515974713,1.8869203699034531,1.886923539937448,1.8869154268664186,1.887756138204795,1.8869655306357804,1.8869382236271663,1.8869939342555535,1.8877703530081904,1.886915453819542,1.8869151332489298,1.8869137729244447,1.886913714545243
38,0.831940221536411,0.009295566021288096,0.11208900809288025,6.889477139235741,7.660000000000001e-06,1.8868935066690524,1.8869004329476033,1.8869925106709757,1.8868994409115731,1.8869027158729574,1.8868943139773344,1.8877772061963465,1.886946187724243,1.886917898446281,1.8869741159485167,1.8877910822562023,1.8868941793020166,1.8868940040447646,1.8868925755671153,1.8868925135352606
39,0.831946513553392,0.00929570818474586,0.10988090187311172,6.889076560977772,7.840000000000001e-06,1.8868718646406397,1.8868790446300494,1.8869744959124672,1.8868780186377039,1.8868813982717412,1.8868727071690194,1.8877987771049471,1.8869263567575991,1.8868970810701342,1.8869537904836151,1.8878123047198092,1.8868724085737532,1.8868723803336305,1.886870883510615,1.8868708179105091
40,0.8319529580056994,0.009295853690819226,0.10679753799922764,6.888657383553485,8.020000000000001e-06,1.886849728528768,1.8868571632026279,1.886956006182338,1.886856103093009,1.886859587088818,1.8868506065373285,1.8878208505597485,1.8869060372985644,1.8868757713198034,1.886932958697367,1.8878340204489836,1.8868501418799435,1.8868502622007866,1.8868486968906308,1.886848627804057
41,0.8319595549390686,0.009296002539972257,0.1102263901848346,6.888248315256163,8.200000000000001e-06,1.8868270984239321,1.886834788685959,1.8869370404112784,1.8868336943122497,1.8868372822824213,1.886828012162128,1.887843426260175,1.8868852289459388,1.8868539690465276,1.8869116213501103,1.8878562295042176,1.8868273794540737,1.8868276496951213,1.8868260158084662,1.8868259433384178
42,0.831966304395217,0.009296154732626858,0.109880480915308,6.887822047757736,8.380000000000001e-06,1.8868039744285003,1.886811921106374,1.8869175975932388,1.8868107923128745,1.8868144838244365,1.886804924133351,1.8878665039091582,1.8868639313365712,1.8868316741111817,1.8868897791554802,1.8878789319324067,1.886804121518193,1.8868045428655262,1.8868028403639439,1.8868027646409058
43,0.8319732064127044,0.00929631026915499,0.10532363690435886,6.887359923083137,8.560000000000001e-06,1.886780356634,1.8867885604851866,1.886897676796259,1.8867873971487927,1.886791191670886,1.8867813425496518,1.8878900832651877,1.8868421441138057,1.8868088863822559,1.8868674327791013,1.8879021277659311,1.8867803682732096,1.8867809417671895,1.8867791706764614,1.8867790918278509
