iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
42,0.03322944688184554,0.009212823822439131,21.371408445062116,0.05462633676050073,0.00082018,1.9353101581419137,1.871134601559288,1.8437732734641872,1.8417817094674256,1.8425294570867758,1.8419932406990633,1.9302218517161867,1.8472905795369716,1.8887630065098835,1.9332362133282417,1.9345828593003127,1.9345024628350036,1.929981143176624,1.9317783864496179,1.9359367165965717
43,0.023860577155646264,0.00920871365320523,20.423361990833655,0.07336431958084431,0.00084016,1.9376600693593526,1.8703644850253993,1.8417057466446003,1.8396035261022212,1.8404089911454333,1.8398304167011525,1.9323137536996546,1.845358760076553,1.8889028828013381,1.9354976974160643,1.9368933484457072,1.9368312653351696,1.932042566988376,1.9339028279893122,1.9382881545040742
44,0.030176041345506083,0.009204536378555379,21.77184969303198,0.06498511416323875,0.00086014,1.9400799524284496,1.8695791930555614,1.8395611139422408,1.8373566678548026,1.8382328848046492,1.8375863907139343,1.93442384517694,1.8433685791325052,1.889081065277846,1.937826210990799,1.9392652024658925,1.9392008431992973,1.9341212088423656,1.9360897721509769,1.9407247218893424
45,0.02786889196229853,0.009200145658957366,20.32141529698856,0.05529500232867497,0.00088012,1.9425512171612687,1.8687873063736855,1.8374396214483313,1.8350686988126104,1.8359917484763293,1.8353066552881674,1.936638881791985,1.8413331421032264,1.8893019930006014,1.9402021108292573,1.9416668607686713,1.9416514392490118,1.9362347429529931,1.9383810121569311,1.9431870184854598
46,0.02418569979025365,0.009196515361077205,20.032588271889836,0.07513711277683789,0.0009001,1.9450638692673963,1.8675893677955473,1.835223493479092,1.832674884038973,1.8336121593498722,1.832926541265666,1.9388223027833604,1.839079413278074,1.889068247840257,1.9425170312491118,1.9440749321557158,1.9441890460796583,1.9383935475753542,1.9407870466956494,1.9457052630439218
47,0.025623112897610198,0.009193495046454418,21.462563568959013,0.07077831787100233,0.0009200800000000001,1.9476315896794323,1.8661370174027418,1.8328865156600083,1.8301886030750716,1.8311627255647682,1.8304587490373352,1.940907079467296,1.8366542918524824,1.8884955507192913,1.944786471785511,1.9464919624549126,1.9467644743360526,1.9405669024293164,1.9432499812389903,1.948303109328223
48,0.026756494126855032,0.009190470283305732,19.690458544064313,0.06612943225635645,0.0009400599999999999,1.9502555792883052,1.8645690112528408,1.8305390498791527,1.827636841177202,1.828623958031359,1.8279221984914313,1.9430513110028782,1.8341364701640845,1.8878882941955235,1.9471006273094837,1.9489493522104075,1.9494287043538814,1.9427901547137298,1.9458214861730372,1.9509338496051236
49,0.03013080196796228,0.00918688109350777,20.462691105902195,0.05930154156334197,0.00096004,1.9529579012516756,1.8631170326031754,1.828198372956365,1.8250516696707653,1.8260406143031234,1.8253364403922057,1.9453262807973468,1.8316390786473777,1.8875445867841483,1.9495443105755332,1.9514895430866475,1.9521559030591482,1.9450585273573326,1.9484723695031059,1.9536059671679895
50,0.02292162573452872,0.009184148390780819,19.647684094961733,0.07524241132916941,0.00098002,1.955695441195069,1.861238433751046,1.8258019998205568,1.822359306094228,1.8233196494498223,1.8226647928678978,1.9475345928245253,1.8288983281869613,1.8866760332564052,1.9518775276877962,1.9540117214664618,1.9549798230994084,1.9473690781756403,1.951233993240965,1.95633836487099
51,0.026792124881388577,0.009181241665060364,19.96014721598476,0.05823886481267838,0.001,1.9584914664627653,1.8592950834317667,1.8233692953895129,1.8196289596520523,1.8205607494051703,1.8199624034940518,1.949832422567432,1.82613625312395,1.8858221557155121,1.954266022792186,1.9565824335829036,1.9578600484773643,1.9497189570844664,1.9540724877979772,1.9591463225527457
52,0.027529787683200878,0.009178356799765199,20.46318740514107,0.06868993085820531,0.0009999878275373446,1.9612955614944816,1.8572970952064414,1.8209530268757597,1.8168870909436903,1.817777378328256,1.8172321695057212,1.9521320705957148,1.8233528324503985,1.8849986158255898,1.9566729253394712,1.9591551355131795,1.960754700251375,1.9520641772387397,1.9569354688778047,1.9619397762529054
53,0.02835725625645458,0.009175803181568574,21.720359835773706,0.07641537906588296,0.0009999513107426476,1.9641146671335914,1.8551969887194182,1.818439611147151,1.8141064874801267,1.8149876251855583,1.8144453820420812,1.9542946117385467,1.8205260877529006,1.8840933988132142,1.9590691673469056,1.9617343082326935,1.9636074792134388,1.9543846709190216,1.9597831179759324,1.9648029663598396
54,0.0332405375002256,0.009172138245641134,21.06815180880949,0.04385604085010358,0.0009998904513956854,1.966966406226966,1.8535210433251015,1.816033114364607,1.8114104761941174,1.812296321441346,1.811747983754477,1.9566555678283235,1.8179173564750521,1.8836367434101988,1.9615794507711515,1.9643573077057943,1.9664492796267892,1.956693238515199,1.9626244171335454,1.9676717650484146
55,0.028301087892038203,0.009168107652153317,20.452986845979467,0.05082191281273752,0.000999805252462657,1.9698177557396048,1.8519585077754366,1.8137090446310569,1.8087580440390103,1.809645129919501,1.8091008691345631,1.959095338519727,1.8153667489174357,1.8832838513636494,1.964120378290398,1.9669726259944276,1.9693110620879024,1.959007453966712,1.9654824479171529,1.9705074909706126
56,0.03065292186119107,0.009163687697670779,19.86887080804445,0.060317560368443476,0.0009996957180960385,1.9726833546602107,1.8504862202443924,1.8114165905670458,1.8061204212632174,1.8069959740163966,1.8064515186056167,1.9616132130014574,1.8128787071370422,1.8831682875305318,1.9667311912607983,1.9696146648275268,1.9721739832148846,1.9613219351813496,1.9683614209576572,1.9733438888169224
57,0.021516479886817673,0.00916054776821145,19.11247280309908,0.07519068669811614,0.0009995618536343797,1.9755136066286656,1.84855704430446,1.8090710726707016,1.80342858378899,1.8042763591194813,1.803758464118507,1.9639003518967686,1.8101285259405178,1.8823403477318128,1.9691450123698886,1.972172028751745,1.9750748886556995,1.9636400362259971,1.9712694247994775,1.9761621423209454
