iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,beta0,beta1,beta2,beta3
98,7.864746760933189,0.03247809376784403,0.0027198329917155206,39.12338172758202,9.759921670520634e-06,1.248332339919516,1.2517116867828089,1.2517820594894122,1.2483287074005927,-0.0007466270933506385,0.282511553534038,0.4348004736190012,0.5310638054044796
99,7.8647077672872285,0.0324776714147158,0.0027033750084228814,39.11118459414526,9.749693666068666e-06,1.2483105898171742,1.2517347210348846,1.2518070097412861,1.2483068501959529,-0.0007563751566305431,0.2825216402703389,0.4348105485953792,0.5310638054044796
100,7.8646687088996705,0.03247724869821938,0.0027286249678581953,39.099000654946515,9.739258537542836e-06,1.2482888637418388,1.251757747966141,1.2518319716631254,1.248285015588375,-0.0007661127373546678,0.28253172107702484,0.4348206174036345,0.5310638054044796
101,7.864629587463532,0.03247682563328771,0.0026372920256108046,39.08671047158965,9.728616793536588e-06,1.2482671621519894,1.2517807669855279,1.2518569443740601,1.2482632040405497,-0.0007758396282854023,0.2825417957168355,0.4348306798106387,0.5310638054044796
102,7.864590404566554,0.032476402234842966,0.0027512910310178995,39.07452911520116,9.717768952713514e-06,1.248245485504264,1.2518037775044912,1.2518819269939754,1.2482414160226878,-0.0007855556242402253,0.2825518639522749,0.43484073558143965,0.5310638054044796
103,7.864551161800042,0.03247597851923799,0.0026888339780271053,39.06233335120071,9.706715543782065e-06,1.2482238342554115,1.2518267789299689,1.2519069185413487,1.2482196519926232,-0.0007952605195917967,0.28256192554470566,0.434850784472259,0.5310638054044796
104,7.864511860921706,0.03247555450260033,0.002805833995807916,39.05017639766388,9.695457105469805e-06,1.2482022088612745,1.2518497706571319,1.251931918067285,1.248197912419976,-0.0008049541088238061,0.28257198025101854,0.43486082623917655,0.5310638054044796
105,7.864472503673426,0.03247513020026855,0.0026627089828252792,39.038069056231194,9.683994186497132e-06,1.2481806097762849,1.2518727521020627,1.2519569246560753,1.2481761977738233,-0.00081463618758511,0.28258202783514297,0.4348708606440169,0.5310638054044796
106,7.864433091695077,0.03247470562799384,0.002660500002093613,39.02592309132648,9.672327345550544e-06,1.2481590374526428,1.251895722670596,1.2519819373802519,1.2481545085143444,-0.0008243065521764215,0.282592068058097,0.4348808874469294,0.5310638054044796
107,7.86439362667993,0.03247428080173801,0.0026253749965690076,39.01390226761691,9.66045715125541e-06,1.2481374923403954,1.2519186817675394,1.2520069552985935,1.2481328451083233,-0.0008339650005570189,0.2826021006802265,0.4348909064058775,0.5310638054044796
108,7.864354110352552,0.03247385573726106,0.002736042020842433,39.001735439489856,9.648384182148252e-06,1.2481159748891828,1.2519416287976803,1.2520319774857769,1.2481112080106624,-0.000843611329077216,0.28261212546327,0.4349009172827387,0.5310638054044796
109,7.86431454440892,0.03247343044981802,0.0026586250169202685,38.98961611520778,9.636109026648556e-06,1.248094485548857,1.251964563164156,1.252057003059367,1.2480895976810074,-0.000853245334876979,0.2826221421679438,0.4349109198417641,0.5310638054044796
110,7.864274930487961,0.03247300495474693,0.0027017919928766787,38.977544932786515,9.623632283030079e-06,1.2480730247659124,1.2519874842943206,1.2520820310985181,1.2480680145765564,-0.0008628668173491349,0.2826321505633789,0.4349209138477569,0.5310638054044796
111,7.864235270229682,0.032472579267915,0.002834417042322457,38.96557314679576,9.610954559391704e-06,1.2480515929882035,1.2520103915969003,1.2521070606676517,1.2480464591629903,-0.0008724755753248613,0.2826421504113058,0.4349308990591041,0.5310638054044796
112,7.864195565347293,0.032472153404722516,0.0027147079817950726,38.953517846912774,9.598076473627798e-06,1.24803019065708,1.2520332844788784,1.252132090877713,1.2480249318915855,-0.0008820714093645457,0.28265214147474027,0.4349408752414414,0.5310638054044796
113,7.864155817502862,0.03247172738096381,0.0027077500126324594,38.9414819458587,9.58499865339809e-06,1.2480088182186826,1.252056162353513,1.2521571207963396,1.2480034332153085,-0.0008916541187806563,0.28266212351822734,0.43495084215621793,0.5310638054044796
