repeat,K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
6,17,6.591935372431343e-05,0.0002547849244830203,0.00022820241428967184,0.00015687460325110748,0.0001400780443258581
6,18,5.663603071150998e-05,0.00022468902533731442,0.00020212508036118602,0.00013782877501039432,0.0001229545191153741
6,19,4.8968847496217765e-05,0.0001990216590228139,0.00017985127129687778,0.00012181883503834166,0.00010861251832566827
6,20,4.2579667134994004e-05,0.00017697376861407855,0.00016068388499588897,0.00010842010900009203,9.649740325551261e-05
6,21,3.7212709586786934e-05,0.00015791362481572897,0.00014407968218799593,9.713765592094037e-05,8.608248294732698e-05
6,22,3.26719134826312e-05,0.0001413419323452416,0.0001296100994334684,8.738974919089186e-05,7.706814199429184e-05
6,23,2.880515240090088e-05,0.0001268596963553118,0.00011693323459487749,7.888011369910688e-05,6.926702948041426e-05
6,24,2.549305815063659e-05,0.00011414485701833862,0.00010577350859722421,7.141325792744626e-05,6.246746051156403e-05
6,25,2.2640992289664025e-05,0.00010293505477722897,9.590669177044723e-05,6.483099083237879e-05,5.64859241902755e-05
6,26,2.017320204791736e-05,9.301475064325986e-05,8.714873766515818e-05,5.900694674501217e-05,5.120304867045908e-05
6,27,1.8028513393616787e-05,8.42054854052667e-05,7.934735762752176e-05,5.3864060027156285e-05,4.65675976052494e-05
6,28,1.615712001310379e-05,7.635843151759403e-05,7.237559397709303e-05,4.9267812706010156e-05,4.2452555068417546e-05
6,29,1.4518163228458189e-05,6.934864017324661e-05,6.612686805849296e-05,4.51477556909197e-05,3.8807823606898796e-05
6,30,1.307788932112126e-05,6.307055597615604e-05,6.051112872090743e-05,4.14444248715121e-05,3.5563211960592115e-05
7,1,0.01753376905763331,0.026424750160389296,0.0250348839254963,0.02279988504787018,0.022049395724921157
7,2,0.005954503106965484,0.008866211356326611,0.008650613622353129,0.008025856594232819,0.007640520838764167
7,3,0.0030414178805809973,0.004664892878896187,0.004660439901768544,0.004319140073169124,0.004052260383404552
7,4,0.0018025779584145219,0.0029666398260138455,0.0029574732881133227,0.0026816139088388126,0.0025018474453370144
7,5,0.0011654384218060365,0.0020414821965663212,0.002025571198996737,0.0018156649907096457,0.0016871714002257433
7,6,0.0007992508353525423,0.0014795772482930163,0.0014601233015169904,0.0012989634508913787,0.0012082243334014173
7,7,0.0005724837132312136,0.0011132953552178825,0.0010920714471570152,0.0009707423455748709,0.000900505537745544
7,8,0.00042410214533511567,0.0008619425313732666,0.00084000342398214,0.0007477997530851024,0.0006932452274327007
7,9,0.0003227675334349199,0.000682573473124255,0.000660572536446034,0.0005895648485753407,0.0005466063689181129
7,10,0.00025114039270899847,0.000550555703874413,0.0005289062601790123,0.0004735767706703344,0.0004391894273674801
7,11,0.00019905436700089514,0.0004509190939405987,0.0004424474108380466,0.0003865641983413078,0.00035862711648462314
7,12,0.00016026347835707474,0.00037649220921018604,0.00037531459031601836,0.0003199955840840286,0.00029702178548491313
7,13,0.0001307792388160246,0.0003297040376371852,0.00032180932387173775,0.0002680518122312116,0.00024867178982095246
7,14,0.00010797045573853735,0.0002909688733893782,0.0002784646866348604,0.0002273708139446671,0.0002102575761611858
7,15,9.005226270256062e-05,0.0002584485369729658,0.00024285935236200657,0.00019468748214435144,0.00017944692866557677
7,16,7.5784224500658e-05,0.00023082648431050856,0.0002132590721310514,0.00016841126586631495,0.00015424556234724503
7,17,6.428573734286755e-05,0.0002071351612123449,0.00018839396009776352,0.00014669697627782383,0.00013341412703901163
7,18,5.4919736376994294e-05,0.00018664707273381524,0.0001673158451985895,0.00012851159586339066,0.0001160761950853045
7,19,4.721749377740801e-05,0.00016880405254649625,0.00014930440722169078,0.00011315608702774354,0.00010154991629602256
7,20,4.082884907809109e-05,0.0001531701257769413,0.0001338039119055003,0.00010011888288505871,8.934074766436439e-05
7,21,3.548858246532217e-05,0.00013939933919335384,0.00012037964016029217,8.900931807316834e-05,7.904293581815892e-05
7,22,3.099326813804908e-05,0.00012721332065819763,0.00010868728971888395,7.94287938848412e-05,7.026270666938752e-05
7,23,2.7185070585432893e-05,0.00011638530607557357,9.845110256183996e-05,7.118537785518191e-05,6.270972655830202e-05
7,24,2.3940225559748296e-05,0.00010672855556371238,8.944797470919686e-05,6.414715914273399e-05,5.615098886076219e-05
7,25,2.1160735212506998e-05,9.808780639112973e-05,8.149573979896663e-05,5.807931978471975e-05,5.045641902495488e-05
7,26,1.876830239737682e-05,9.033286512522835e-05,7.512221946885335e-05,5.2724244797539206e-05,4.548225350883087e-05
7,27,1.669984696154053e-05,8.335373233841171e-05,6.945559625430849e-05,4.797665424572618e-05,4.111218906184758e-05
7,28,1.4904154314384298e-05,7.70568427286442e-05,6.435277327087268e-05,4.375398249818135e-05,3.728894900136877e-05
7,29,1.3339344208236496e-05,7.136212914156135e-05,5.9744626973617584e-05,3.9987020747300845e-05,3.3929895311457736e-05
7,30,1.1970940364049196e-05,6.620070363772976e-05,5.557225015798705e-05,3.661738392026319e-05,3.0955982396177154e-05
8,1,0.017654713581880185,0.026696536966572537,0.02614971146211048,0.02429041906029311,0.023107177240492154
8,2,0.005896078389746255,0.008506547683395146,0.008353408536587129,0.00793240203673161,0.007671461934729891
8,3,0.0030005238428326545,0.004809948147272006,0.004696440283272491,0.004317529998415874,0.004107520389186828
8,4,0.001774565981461755,0.003095109748492842,0.003048403301443181,0.0027258235534132077,0.0025635544122202757
8,5,0.0011455287990717058,0.002138640569836611,0.0021340610267500653,0.0018673697955841582,0.0017413636045989951
8,6,0.0007850363852495864,0.0015907401209646404,0.0015700004941195556,0.00134863268926994,0.001253401096598508
8,7,0.0005623953495457082,0.001231677690448498,0.0011962355023893549,0.0010112502756325329,0.0009401514907153189
8,8,0.00041702735797230153,0.0009789149213385157,0.0009354400262225545,0.0007803296316330019,0.0007288934551197689
8,9,0.0003179032407291209,0.0007935808749307512,0.0007462758398442704,0.0006207351628324311,0.0005799884215497546
8,10,0.00024790307032572604,0.0006533827454292664,0.0006048927916918494,0.0005061160334700748,0.00047207478021025795
8,11,0.00019701686006296144,0.0005447057831011303,0.0005003079752449582,0.000420915760796204,0.000390342808985006
8,12,0.00015911087545093198,0.00045880098260151565,0.0004217158331541656,0.00035472777429548406,0.00032699694641645505
8,13,0.0001302779044534612,0.0003898062205304509,0.0003589225232140651,0.000302317567881041,0.0002772682027582689
8,14,0.00010794615178539212,0.0003336551482322851,0.0003080302221616226,0.00026000951449597903,0.00023732095773478472
8,15,9.037453323393677e-05,0.0002874440874615593,0.00026627586036373247,0.00022525286573857236,0.00020471651975691096
8,16,7.635513196057383e-05,0.0002490482662838169,0.00023165394507103474,0.0001965613677120624,0.00017779715579402237
8,17,6.503165341063179e-05,0.0002168802347271778,0.00020267886984707807,0.00017305804916988398,0.0001553730099641432
8,18,5.578530260882429e-05,0.00018973269683655235,0.00017823042897120565,0.00015355966847463513,0.00013660441110210927
8,19,4.816114146056006e-05,0.00016667327491796399,0.00015745066947209447,0.0001368679459052153,0.00012067691262280986
8,20,4.1819451863043274e-05,0.00014697224073828262,0.00013967336973064577,0.00012248310432261803,0.00010706837841068728
8,21,3.650294017064825e-05,0.00013005176587737257,0.0001243748018063568,0.00011001257046261526,9.541821147879497e-05
8,22,3.201420579793606e-05,0.0001154495719412917,0.00011125260980333139,9.914410505946353e-05,8.539255949872019e-05
8,23,2.8199996384452073e-05,0.00010279243306370905,0.00010048505984301577,8.962657345006381e-05,7.672545212560053e-05
8,24,2.4940033269149844e-05,9.177655494254702e-05,9.103988983195077e-05,8.125595138382207e-05,6.923021885956034e-05
8,25,2.213896668139169e-05,8.329065919854148e-05,8.272174974993679e-05,7.389231850939966e-05,6.270241958114505e-05
8,26,1.9720507258457963e-05,7.702229450933331e-05,7.536898890423679e-05,6.744686471449055e-05,5.694323320219498e-05
8,27,1.762309246878726e-05,7.139962628197926e-05,6.884698822882357e-05,6.171328506288722e-05,5.1844410953416194e-05
8,28,1.579664982970685e-05,6.633969519276465e-05,6.33770168476938e-05,5.659660499667529e-05,4.731563738097373e-05
8,29,1.4200153463671834e-05,6.177223536313091e-05,5.8607107596292976e-05,5.20168705914045e-05,4.330460277813382e-05
8,30,1.2799761061054008e-05,5.7637421146888756e-05,5.4504422728860046e-05,4.790637883040052e-05,3.9739325039223496e-05
9,1,0.01752688957485439,0.024800692591481634,0.024706815612885586,0.023192732653337326,0.0222856534771809
9,2,0.005888456509892679,0.008150134680692728,0.008100173813417317,0.007828216056156124,0.0075453416368027725
9,3,0.003001131529571207,0.004567760361187305,0.00446366645186066,0.0041786636124369805,0.0039892608396764045
9,4,0.001773082135246444,0.002948678506380421,0.0028174600329465924,0.0025764693094536824,0.0024535118306947775
9,5,0.001142219495164249,0.002032824489737914,0.001921280801902556,0.0017312363932186132,0.001643938841592334
9,6,0.0007806443811224309,0.0014631103556417148,0.0013855974390849105,0.0012397632686683379,0.0011627307980119016
9,7,0.000557417134381105,0.0010859888004047377,0.0010359880822368123,0.0009254116929916228,0.0008574161680521582
9,8,0.0004117864317999622,0.0008249771373477907,0.0007960866617205203,0.0007112231452980125,0.0006545590904637076
9,9,0.0003126107565748597,0.0006381720229076954,0.0006250851478412673,0.000559036560130834,0.0005130384776654245
9,10,0.00024269572002841953,0.0005009448136572027,0.0004995029678326122,0.0004483818326337593,0.0004106567322982135
9,11,0.0001919809732565622,0.0004120472491886766,0.0004101478918120963,0.0003669906972053046,0.00033474308902818595
9,12,0.00015429837402794328,0.00034559460852326776,0.0003445489222715792,0.0003046842764494919,0.00027695669123572
9,13,0.00012571717050807407,0.0002932458807717185,0.0002927049266651261,0.0002560313651997929,0.00023194624383951191
9,14,0.00010364955214928369,0.0002513173031792011,0.0002510776942549128,0.0002174876028848739,0.00019658885970094743
9,15,8.634367597422398e-05,0.00021724981979656693,0.00021718929300524806,0.00018642232003663502,0.0001681899558034542
9,16,7.258455147589732e-05,0.00018930594642285517,0.00018926355254140126,0.000161137386153888,0.0001450251739027903
9,17,6.151139288192872e-05,0.00016609756170120677,0.0001660015265025078,0.00014034320308538984,0.0001258613989915818
9,18,5.250271699115405e-05,0.00014655308818891958,0.00014643646000943664,0.00012336815305175313,0.00010985574279790843
9,19,4.5102147382638255e-05,0.00012995200284585402,0.00012983757799137457,0.00010897011749650627,9.637974023474066e-05
9,20,3.8969384521808734e-05,0.00011574101229460347,0.00011564475816728364,9.666714126602203e-05,8.496562530942944e-05
9,21,3.384713108997548e-05,0.0001034901813766187,0.00010342325848052583,8.609873655486505e-05,7.521669380934775e-05
9,22,2.9538362720246983e-05,9.28617562601037e-05,9.283176979181258e-05,7.703438855306846e-05,6.69303707426309e-05
9,23,2.5890443410983757e-05,8.361132996156409e-05,8.359950534768632e-05,6.91381340000607e-05,5.977879107825786e-05
9,24,2.2783852852618166e-05,7.556589528640928e-05,7.550953148807311e-05,6.222850073638679e-05,5.360048581329832e-05
9,25,2.012407326648778e-05,6.84884075495244e-05,6.838647995630631e-05,5.623297215765094e-05,4.825628914122903e-05
9,26,1.7835673903221927e-05,6.22345496415836e-05,6.208738197280913e-05,5.094012798636347e-05,4.358685715401292e-05
