iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
36,0.03253029842680779,0.0084880566937211,0.0028083749930374324,0.021653581122989738,0.0007003,1.2782824868184663,1.2782348095652845,1.2782183459830274,1.2782086342343901,1.2782018293350956,1.2781968233543815,1.2781930864345643,1.2781902981819049,1.278188243106058,1.2781867645918723,1.2781857352214137,1.2781850170252254,1.278184269083414
37,0.03303412056968835,0.008469539606454551,0.002694333961699158,0.02239775884476519,0.00072028,1.2799003107521436,1.2798424953740675,1.2798227050852422,1.2798112549811644,1.279803373896885,1.2797976406734397,1.2797933857273835,1.2797902173419533,1.279787879947003,1.2797861924044067,1.2797850107383977,1.2797841832588377,1.2797833456112124
38,0.033658279859493344,0.008450570359540178,0.0027304170071147382,0.022071440178953374,0.00074026,1.2815609794693341,1.2814941408332712,1.2814711915134471,1.281457988744645,1.281449026191719,1.2814426086604502,1.2814379278407424,1.2814345127480773,1.281432058915006,1.281430353056317,1.2814292285084097,1.2814285150080553,1.2814278206086973
39,0.03228297085961149,0.00843119018129075,0.002659750054590404,0.022047431425472667,0.00076024,1.283266085830976,1.283188909744175,1.2831620780790574,1.2831466228044937,1.2831361752166037,1.2831287210087794,1.2831232921115288,1.2831193267717829,1.2831164648734525,1.2831144568796358,1.2831131108732572,1.2831122363290246,1.2831114122430594
40,0.031680717745970616,0.008411450350874112,0.002727416984271258,0.02171875033045823,0.0007802200000000001,1.2850148047524643,1.2849247764336382,1.2848926060912822,1.2848737702005537,1.2848609144845513,1.2848516445539264,1.2848447968914611,1.2848396962420998,1.2848359111775554,1.2848331444026118,1.2848311698732402,1.2848297696788997,1.284828487613364
41,0.03147387520614655,0.00839135717899825,0.0026716249994933605,0.021103598823088963,0.0008002,1.2868032774228413,1.2866974753061529,1.2866597166368428,1.286637437282905,1.2866221501402422,1.286611057835504,1.2866027945957246,1.2865965688647838,1.2865918765591648,1.2865883718715279,1.2865857941017504,1.2865838974577717,1.286582189720828
42,0.031719594627341995,0.008370870739350667,0.0027598749729804695,0.021728585089071422,0.00082018,1.2886357365106675,1.2885125994872277,1.2884688853548214,1.2884428170952502,1.2884247189422848,1.2884114080043558,1.2884013320620744,1.288393591833428,1.288387614274807,1.2883830061237904,1.2883794717821915,1.2883767367058307,1.2883742712230928
43,0.03186752930734186,0.008350004477808383,0.002705582999624312,0.021659630769064776,0.00084016,1.2905124193603452,1.2903699487102036,1.2903194575144419,1.2902889624745093,1.2902675058410615,1.2902515058330914,1.290239213598888,1.2902296113662193,1.2902220470637962,1.2902160712644712,1.2902113462044733,1.290207562574882,1.2902041479904656
44,0.03502013705445533,0.008328602874516844,0.002707500010728836,0.022555779330337658,0.00086014,1.2924378450323393,1.2922761722908618,1.2922197832806186,1.2921860088013464,1.2921623886737248,1.2921448724692817,1.2921314919220594,1.2921211047856307,1.292112980269242,1.2921066153469694,1.2921016332955142,1.29209769319204,1.2920941823822065
45,0.03496541737769927,0.008306669698769482,0.002828583004884422,0.02289548261013827,0.00088012,1.2944149172426103,1.2942329252997378,1.2941716297999788,1.2941355389942688,1.294110610611562,1.294092331131644,1.2940785288064003,1.2940679518728044,1.2940598030987842,1.294053535641342,1.2940487415612163,1.294045054405336,1.294041825629136
